query,intent
强强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力模式进行扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力模式扫拖客厅和餐厅,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
强力清扫客厅两遍,"['set_air_suction', 'start_clean']"
强力清扫客厅两遍,"['set_air_suction', 'start_clean']"
强力扫厨房,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
厨房强力清拖,"['set_air_suction', 'start_clean']"
强力拖地主卧,"['set_air_suction', 'start_mop']"
强力拖地主卧,"['set_air_suction', 'start_mop']"
强力拖地主卧,"['set_air_suction', 'start_mop']"
强力拖扫,"['set_air_suction', 'start_sweep_and_mop']"
强力打扫阳台,"['set_air_suction', 'start_clean']"
强力清扫阳台,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
嗯强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
客卧强力拖地,"['set_air_suction', 'start_mop']"
用强力清扫,"['set_air_suction', 'start_clean']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地厨房,"['set_air_suction', 'start_mop']"
把客厅强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地书房,"['set_air_suction', 'start_mop']"
开启全屋强力清洁模式,"['set_air_suction', 'start_clean']"
把走廊强力扫拖一下,"['set_air_suction', 'start_sweep_and_mop']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
客厅阳台强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫客厅,"['set_air_suction', 'start_clean']"
强力打扫客厅,"['set_air_suction', 'start_clean']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
把家里强力清扫一下,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
开启强力拖地,"['set_air_suction', 'start_mop']"
强力清洁模式,"['set_air_suction', 'start_clean']"
强力扫地客厅餐厅,"['set_air_suction', 'start_sweep']"
全屋强力清洁打扫两遍,"['set_air_suction', 'start_clean']"
强力清清扫两遍,"['set_air_suction', 'start_clean']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
全屋大扫除强力模式,"['set_air_suction', 'start_clean']"
开启强力拖地,"['set_air_suction', 'start_mop']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
开启强力清扫,"['set_air_suction', 'start_clean']"
开启强力扫地,"['set_air_suction', 'start_sweep']"
全屋强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
全屋强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
打开强力清洁模式,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清洁扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力拖扫模式,"['set_air_suction', 'start_sweep_and_mop']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
强力清洁主卧,"['set_air_suction', 'start_clean']"
强力清洁卧室一北面,"['set_air_suction', 'start_clean']"
强力清扫次卧,"['set_air_suction', 'start_clean']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
强力清洁主卧,"['set_air_suction', 'start_clean']"
强力吸客厅,"['set_air_suction', 'start_sweep']"
强力清洁餐厅,"['set_air_suction', 'start_clean']"
开启强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫一下阳台,"['set_air_suction', 'start_clean']"
强力清扫一下阳台,"['set_air_suction', 'start_clean']"
开始强力清洁地面,"['set_air_suction', 'start_clean']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
用强力模式把家里扫一遍,"['set_air_suction', 'start_sweep']"
全屋强力扫地扫地,"['set_air_suction', 'start_sweep']"
强力清洁地毯,"['set_air_suction', 'start_clean']"
把餐厅强力拖一下,"['start_mop', 'start_mop']"
开始全屋强力清扫两遍,"['set_air_suction', 'start_clean']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力清扫女儿房,"['set_air_suction', 'start_clean']"
强力清扫可可房间,"['set_air_suction', 'start_clean']"
强力清扫可可房间,"['set_air_suction', 'start_clean']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
强力清扫一下客厅,"['set_air_suction', 'start_clean']"
到厨房强力扫地,"['set_air_suction', 'start_sweep']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力扫厨房和玄关,"['set_air_suction', 'start_sweep']"
强力扫玄关,"['set_air_suction', 'start_sweep']"
强力清扫主卧,"['set_air_suction', 'start_clean']"
用强力模式打扫主卧,"['set_air_suction', 'start_clean']"
强力清扫茶几附近,"['set_air_suction', 'start_clean']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
换成强力清扫这里,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力打扫卫生间,"['set_air_suction', 'start_clean']"
强力扫地模式清扫客卧,"['set_air_suction', 'start_clean']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
全屋打扫强力清洁,"['set_air_suction', 'start_clean']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
强力扫一次客厅,"['set_air_suction', 'start_sweep']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
强力打扫主卧,"['set_air_suction', 'start_clean']"
去客厅强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫全屋,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
开启强力清扫模式走,"['set_air_suction', 'start_clean']"
清洁卫生间强力清洁,"['start_clean', 'start_clean']"
强力去扫拖一下厨房,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力拖一遍,"['set_air_suction', 'start_mop']"
"用轻柔擦模式,打扫客厅和卫生间","['set_air_suction', 'start_clean']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
"用轻柔擦模式,拖卧室","['set_air_suction', 'start_mop']"
"轻柔擦模式,拖卧室","['set_air_suction', 'start_mop']"
强力清扫卫生间,"['set_air_suction', 'start_clean']"
请强力清扫,"['set_air_suction', 'start_clean']"
"用轻柔擦模式,拖卧室","['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地强力拖地,"['set_air_suction', 'start_mop', 'start_mop']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫餐厅,"['set_air_suction', 'start_clean']"
强力清洁主人房,"['set_air_suction', 'start_clean']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
把走廊强力扫一遍,"['set_air_suction', 'start_sweep']"
开始扫地吸力强强力,"['set_air_suction', 'set_air_suction']"
强力拖,"['set_air_suction', 'start_mop']"
呃强力吸地毯,"['set_air_suction', 'start_sweep']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
嗯强力扫拖客厅,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
切换强力清扫模式,"['set_air_suction', 'start_clean']"
全屋强力清洁,"['set_air_suction', 'start_clean']"
强力打扫此处,"['set_air_suction', 'start_clean']"
强力全屋清洁,"['set_air_suction', 'start_clean']"
开启强力清扫,"['set_air_suction', 'start_clean']"
开启强力清洁模式,"['set_air_suction', 'start_clean']"
全屋扫地强力扫地,"['set_air_suction', 'start_sweep']"
打开强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
强力扫地卧室,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
开始全屋强力吸地,"['set_air_suction', 'start_sweep']"
开始强力清洁地面,"['set_air_suction', 'start_clean']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力清扫地毯,"['set_air_suction', 'start_clean']"
强力扫书房,"['set_air_suction', 'start_sweep']"
扫强力扫书房,"['set_air_suction', 'start_sweep']"
强力扫书房,"['set_air_suction', 'start_sweep']"
强力扫书房,"['set_air_suction', 'start_sweep']"
强力扫餐厅,"['set_air_suction', 'start_sweep']"
出来强力拖扫,"['set_air_suction', 'start_sweep_and_mop']"
强力拖扫全屋,"['set_air_suction', 'start_sweep_and_mop']"
强力清洁主卧,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力打扫客厅和过道,"['set_air_suction', 'start_clean']"
进行全屋强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
强力清洁模式,"['set_air_suction', 'start_clean']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力模式打扫阳台,"['set_air_suction', 'start_clean']"
强力清洗主卧,"['set_air_suction', 'start_clean']"
请强力清洁,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
开启强力扫地,"['set_air_suction', 'start_sweep']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力打扫一下阳台,"['set_air_suction', 'start_clean']"
强力清扫主卧,"['set_air_suction', 'start_clean']"
强力拖强力扫地,"['set_air_suction', 'start_sweep']"
全屋强力清洁,"['set_air_suction', 'start_clean']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力清洁主卫,"['set_air_suction', 'start_clean']"
强力洗拖,"['set_air_suction', 'start_mop']"
请强力扫拖书房,"['set_air_suction', 'start_sweep_and_mop']"
把客厅强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
呃强力扫地,"['set_air_suction', 'start_sweep']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
打开强力清扫,"['set_air_suction', 'start_clean']"
强力扫厨房,"['set_air_suction', 'start_sweep']"
强力打扫餐厅,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
开始全屋强力清洁,"['set_air_suction', 'start_clean']"
开启强力清洁,"['set_air_suction', 'start_clean']"
开始强力清洁,"['set_air_suction', 'start_clean']"
去客厅扫地强力扫扫两遍,"['set_air_suction', 'start_sweep']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
强力扫地客厅,"['set_air_suction', 'start_sweep']"
强力扫地客厅,"['set_air_suction', 'start_sweep']"
强力扫拖书架,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力打扫一下主卧,"['set_air_suction', 'start_clean']"
强力打扫主卧,"['set_air_suction', 'start_clean']"
嗯强力扫地,"['set_air_suction', 'start_sweep']"
打开强力拖地模式,"['set_air_suction', 'start_mop']"
去强力清扫餐厅,"['set_air_suction', 'start_clean']"
开启快捷指令快速强力扫地,"['set_air_suction', 'start_sweep']"
强力拖一下阳台,"['set_air_suction', 'start_mop']"
开始全屋强力清洁,"['set_air_suction', 'start_clean']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
开启强力清洁,"['set_air_suction', 'start_clean']"
扫拖厨房两遍强力模式,"['start_sweep_and_mop', 'set_air_suction']"
榻榻米房间强力扫,"['set_air_suction', 'start_sweep']"
嗯强力拖地,"['set_air_suction', 'start_mop']"
请给强力清扫,"['set_air_suction', 'start_clean']"
请给强力清扫,"['set_air_suction', 'start_clean']"
强力清扫书房,"['set_air_suction', 'start_clean']"
强力拖地主卧,"['set_air_suction', 'start_mop']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力扫地卧室,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
请强力拖扫,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力拖地走廊,"['set_air_suction', 'start_mop']"
强力扫拖卫生间,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫餐厅,"['set_air_suction', 'start_sweep']"
强力扫餐厅,"['set_air_suction', 'start_sweep']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力扫厨房,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地强力,"['set_air_suction', 'start_mop']"
强力拖地主卧,"['set_air_suction', 'start_mop']"
把客厅阳台厨房全强力拖,"['start_mop', 'start_mop']"
强力吸尘全屋,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力清扫主卧,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力打扫强力清扫儿童房,"['set_air_suction', 'set_air_suction', 'start_clean']"
强力拖地厨房,"['set_air_suction', 'start_mop']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力拖扫厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地客厅,"['set_air_suction', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
主卧卫生间强力清扫,"['set_air_suction', 'start_clean']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
强力强力吸尘,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
主卧强力吸尘,"['set_air_suction', 'start_sweep']"
把家里强力扫一下,"['set_air_suction', 'start_sweep']"
